UTM_Norte,UTM_Este,Velocidad_Maxima
4475062.674,431574.9068,10.00
4475068.033,431575.6627,10.00
4475073.576,431576.4203,10.00
4475079.304,431577.3210,10.00
4475084.661,431578.2183,10.00
4475089.661,431577.6983,10.00
4475092.472,431573.7649,10.00
4475093.463,431566.5627,10.00
4475094.272,431559.0760,20.00
4475095.467,431549.7547,20.00
4475097.037,431539.8712,20.00
4475099.805,431520.3837,20.00
4475101.195,431510.0745,20.00
4475102.390,431500.7532,20.00
4475104.976,431480.9812,20.00
4475106.541,431471.6634,20.00
4475107.928,431461.6369,20.00
4475109.500,431451.6121,20.00
4475110.890,431441.1614,20.00
4475112.464,431430.9952,20.00
4475114.219,431421.1135,20.00
4475115.792,431410.9473,20.00
4475117.735,431400.7846,20.00
4475119.298,431391.7495,15.00
4475120.469,431385.1145,15.00
4475121.643,431378.1969,15.00
4475122.998,431371.5636,15.00
4475123.799,431364.9253,15.00
4475124.048,431357.9992,15.00
4475122.431,431352.7527,15.00
4475116.913,431349.1672,15.00
4475110.444,431348.4010,15.00
4475103.416,431348.1952,15.00
4475097.664,431349.9807,15.00
4475094.646,431356.3159,15.00
4475092.908,431364.2182,15.00
4475092.084,431373.4015,15.00
4475092.200,431380.8966,15.00
4475092.321,431387.9676,15.00
4475092.619,431395.7472,15.00
4475093.105,431403.3871,15.00
4475093.585,431411.5925,15.00
4475094.248,431419.9410,18.00
4475096.303,431438.0586,18.00
4475097.325,431447.6830,18.00
4475098.343,431457.7315,18.00
4475099.364,431467.4972,18.00
4475099.836,431476.5510,18.00
4475100.121,431485.8858,18.00
4475099.293,431495.4932,18.00
4475097.724,431505.2352,18.00
4475096.342,431514.6962,18.00
4475094.959,431524.2986,18.00
4475093.395,431533.4751,18.00
4475092.223,431540.2515,18.00
4475091.074,431544.4829,5.00
4475089.750,431547.7229,5.00
4475088.249,431549.9716,5.00
4475086.388,431551.2272,5.00
4475083.783,431552.7587,5.00
4475080.813,431553.8628,5.00
4475078.588,431554.4081,5.00
4475076.365,431554.6706,5.00
4475073.774,431554.7883,5.00
4475071.747,431553.9214,5.00
4475069.912,431552.2079,5.00
4475066.962,431551.0498,5.00
4475065.295,431551.3173,5.00
4475063.618,431552.5746,5.00
4475062.490,431554.5439,5.00
4475061.906,431557.7907,5.00
4475061.132,431561.4599,5.00
4475060.362,431564.7051,5.00
4475059.964,431567.8122,5.00
4475059.563,431571.2021,5.00
4475059.718,431574.4556,5.00
4475061.919,431576.5967,5.00

4475068.759,431577.2247,0.00
